,0
617,ABarapapapppp
618,ABarapapp
619,ABarapappa
620,ABarapappaa
621,ABarapappaaa
622,ABarapappaaaa
623,ABarapappaaaaa
624,ABarapappaaaap
625,ABarapappaaaapa
626,ABarapappaaaapp
627,ABarapappaaap
628,ABarapappaaapa
629,ABarapappaaapp
630,ABarapappaap
631,ABarapappaapa
632,ABarapappaapaa
633,ABarapappaapap
634,ABarapappaapapa
635,ABarapappaapapp
636,ABarapappaapp
637,ABarapappap
638,ABarapappp
639,ABarapapppa
640,ABarapapppp
641,ABarapappppa
642,ABarapappppp
643,ABarapapppppa
644,ABarapapppppaa
645,ABarapapppppap
646,ABarapapppppp
647,ABarapp
648,ABarappa
649,ABarappaa
650,ABarappaaa
651,ABarappaap
652,ABarappaapa
653,ABarappaapaa
654,ABarappaapap
655,ABarappaapp
656,ABarappap
657,ABarappapa
658,ABarappapaa
659,ABarappapaaa
660,ABarappapaaaa
661,ABarappapaaap
662,ABarappapaaapa
663,ABarappapaaapp
664,ABarappapaap
665,ABarappapaapa
666,ABarappapaapp
667,ABarappapap
668,ABarappapp
669,ABarappappa
670,ABarappappaa
671,ABarappappaaa
672,ABarappappaap
673,ABarappappaapa
674,ABarappappaapp
675,ABarappappaappa
676,ABarappappaappaa
677,ABarappappaappap
678,ABarappappaappp
679,ABarappappap
680,ABarappappapa
681,ABarappappapaa
682,ABarappappapap
683,ABarappappapp
684,ABarappappappa
685,ABarappappappp
686,ABarappappp
687,ABarappp
688,ABarapppa
689,ABarapppaa
690,ABarapppaaa
691,ABarapppaaaa
692,ABarapppaaaaa
693,ABarapppaaaap
694,ABarapppaaaapa
695,ABarapppaaaapp
696,ABarapppaaap
697,ABarapppaaapa
698,ABarapppaaapp
699,ABarapppaap
700,ABarapppap
701,ABarapppapa
702,ABarapppapaa
703,ABarapppapap
704,ABarapppapp
705,ABarapppp
706,ABarappppa
707,ABarappppp
708,ABarp
709,ABarpa
710,ABarpaa
711,ABarpaaa
712,ABarpaaaa
713,ABarpaaaaa
714,ABarpaaaaal
715,ABarpaaaaar
